zipcode,lat,lng,state,city,avg2019,avg2020
35618,34.641403,-87.304983,AL,Courtland,73437.75,75411.75
5677,44.4083,-72.709972,VT,Waterbury,357186.25,366645.5833
61760,40.879243,-89.021795,IL,Minonk,83590.33333,85829.41667
37201,36.166001,-86.777305,TN,Nashville,353759.9167,377800.5833
54849,46.481185,-91.725682,WI,Lake Nebagamon,252912.25,259588.75
16052,40.899396,-80.061581,PA,Prospect,216036.3333,227309.25
35752,34.7459,-85.946047,AL,Hollywood,101916.0833,103710.4167
60953,40.629577,-87.688641,IL,Milford,65855.16667,68414.66667
26184,39.294993,-81.35272,WV,Waverly,114741.5,121517.25
44818,40.998342,-82.989373,OH,Bloomville,109079.9167,112352.9167
66021,38.76628,-95.015,KS,Edgerton,182376.3333,193867.4167
55007,45.971304,-93.11782,MN,Brook Park,150354.75,157282
49030,41.865948,-85.338879,MI,Burr Oak,101472.1667,109026.8333
54443,44.608922,-89.751725,WI,Junction City,195246.0833,202362
49446,43.551402,-86.37875,MI,New Era,124655.6667,128230.8333
16222,40.873676,-79.257028,PA,Wayne Township,119877.25,124828.6667
71369,30.930023,-91.87706,LA,Simmesport,82882.5,82091.66667
4087,43.569278,-70.743999,ME,Waterboro,240076.75,263781.75
37026,35.696497,-86.105655,TN,Bradyville,161531.3333,169964.75
86024,34.668857,-111.312066,AZ,Happy Jack,290078.25,310830
7505,40.916327,-74.171643,NJ,Paterson,167196.75,171556.25
95469,39.390917,-123.052841,CA,Potter Valley,372206.25,434720.3333
44215,41.069175,-81.895952,OH,Chippewa Lake,134624.6667,144292.0833
44048,41.850255,-80.639309,OH,Kingsville,135029.9167,140328.5
22644,38.949772,-78.486478,VA,Maurertown,206905.5833,214113.0833
85145,32.545998,-111.347585,AZ,Marana,191113.75,203946.6667
17329,39.761844,-76.85112,PA,Manheim Township,252188.6667,262460.5
75651,32.664407,-94.538189,TX,Harleton,160799.8333,162215.1667
74883,35.219684,-96.225558,OK,Wetumka,55218.41667,56419.75
42266,36.744341,-87.357244,KY,Pembroke,160005.25,162094.0833
51039,42.449218,-96.04956,IA,Moville,162415.5833,156734.0833
71833,34.141928,-94.04125,AR,Dierks,64923.08333,65557.16667
55955,44.08732,-92.74087,MN,Mantorville,318230.6667,327462.6667
12583,42.063367,-73.868652,NY,Tivoli,299865.4167,319504.8333
36852,32.757181,-85.292494,AL,Cusseta,145727.0833,150596.5
58045,47.388882,-97.016318,ND,Hillsboro,147980.1667,145489.6667
12440,41.781151,-74.172876,NY,Marbletown,272608,288164.5833
2671,41.670839,-70.1134,MA,West Harwich,477951.6667,502271.5
21874,38.391283,-75.351965,MD,Willards,168703.1667,177510.1667
63055,38.529619,-90.835038,MO,Labadie,252897.3333,272618
27553,36.4865,-78.302793,NC,Manson,149990.4167,154354.4167
73057,34.831002,-97.42863,OK,Maysville,63384.66667,67670.83333
29712,34.797966,-80.975531,SC,Edgemoor,155431.5,168949.4167
19310,39.93509,-75.972822,PA,Atglen,241318.25,253009.3333
61723,40.264664,-89.276542,IL,Atlanta,111905.0833,112896.5833
52773,41.62154,-90.75276,IA,Walcott,178891.6667,181895.1667
96027,41.399483,-123.068855,CA,Etna,210297.8333,210416.1667
76629,31.14975,-96.651785,TX,Bremond,117421.0833,121758.5833
38573,36.493416,-85.223882,TN,Monroe,123353.4167,131573
74469,35.495106,-95.308333,OK,Warner,78174.91667,82356.33333
37866,36.342062,-83.856572,TN,Sharps Chapel,233686.25,245351.25
98537,46.8324,-123.597466,WA,Cosmopolis,194532.5833,220466.1667
49640,44.715246,-86.04869,MI,Honor,201375.5833,206254.5
28615,36.45868,-81.660618,NC,Creston,157920,158079.5
48857,42.840946,-84.155615,MI,Morrice,166130.6667,171512.5
42087,36.973093,-88.994838,KY,Wickliffe,78726.08333,80011.91667
3905,43.086194,-70.686846,ME,Kittery,475344.0833,499243.5833
97435,43.690204,-123.328474,OR,Drain,189277.5833,205043.75
6247,41.767801,-72.075026,CT,Hampton,231472.8333,236070.1667
5751,43.657594,-72.784406,VT,Killington,278657,281590.1667
72039,35.356065,-92.397334,AR,Twin Groves,118769.6667,123618.0833
88023,32.729733,-108.144578,NM,Bayard,60260,69369.25
3251,44.100673,-71.494074,NH,Lincoln,215304.5,224321.9167
95246,38.227003,-120.514561,CA,Mountain Ranch,320660,299163.0833
17565,39.897702,-76.331027,PA,Martic Township,257673.4167,264947.25
21678,39.313279,-76.1123,MD,Worton,213098.5,214460.9167
43730,39.615287,-82.102278,OH,Corning,55496.08333,55667
45325,39.692609,-84.430204,OH,Farmersville,162527.1667,171824.3333
65571,37.186248,-91.62303,MO,Summersville,126700.5,134231.9167
72348,34.941764,-90.417886,AR,Hughes,79474.91667,81566.58333
45657,38.843669,-83.236462,OH,Otway,78310.08333,79949.08333
78638,29.659589,-97.785208,TX,Kingsbury,252755.9167,277048.75
42081,37.226678,-88.416634,KY,Smithland,75006.41667,77373
13622,44.100667,-76.106996,NY,Chaumont,167169.25,171125.6667
41049,38.268994,-83.639781,KY,Hillsboro,117801.5833,116044.3333
84654,38.876439,-111.670908,UT,Salina,172425.3333,183385.8333
45880,41.071206,-84.732968,OH,Payne,96157.58333,100513.4167
15468,39.950112,-79.83257,PA,Redstone Township,64412.25,65389.75
18850,41.854257,-76.462384,PA,Ulster Township,144129.5833,148217.5
24120,36.691636,-80.413917,VA,Meadows of Dan,125269.9167,129564.8333
12197,42.609999,-74.724749,NY,Town Of Worcester,127749.1667,130247.6667
79520,32.857153,-100.124111,TX,Hamlin,45463.83333,46857.75
49788,46.265348,-84.465049,MI,Kincheloe,55855,58301
53114,42.59699,-88.751804,WI,Darien,176949.5,186915.5833
3224,43.36249,-71.55802,NH,Canterbury,273583.25,287402.25
16646,40.689706,-78.72665,PA,Hastings,65563,67434.83333
65014,38.316176,-91.631137,MO,Bland,135682.1667,136391.25
18214,40.800254,-76.084215,PA,Grier City-Park Crest,129054.75,136403.3333
14541,42.765059,-76.848967,NY,Varick,186709.75,194849.3333
37881,36.406476,-83.342508,TN,Tazewell,99160.66667,103645.1667
30428,32.224545,-82.71513,GA,Glenwood,89520.41667,89074.91667
18917,40.37692,-75.205948,PA,Dublin,312185.8333,322936.25
12056,42.764785,-74.09515,NY,Town Of Duanesburg,236696.0833,247760.9167
67546,38.236266,-97.818712,KS,Inman,163929.75,170589.5
74740,33.765412,-94.608109,OK,Haworth,69527.41667,75566.5
22514,38.008001,-77.32938,VA,Milford,192799.75,199840.0833
38356,35.438396,-88.893792,TN,Medon,113601.25,126413.4167
44836,41.237162,-83.062895,OH,Green Springs,112942,115958.5833
76035,32.562049,-97.631487,TX,Cresson,344633.4167,346461.9167
18656,41.332524,-76.185452,PA,Ross Township,162414.3333,166487.8333
81326,37.156378,-108.187079,CO,Hesperus,457197.9167,453146.3333
39464,31.491996,-89.08394,MS,Ovett,115540.3333,119050
26147,38.904543,-81.07539,WV,Grantsville,53091.58333,52510.25
12788,41.787539,-74.589314,NY,Town Of Neversink,143143.6667,153686.5
53561,43.39494,-89.638619,WI,Merrimac,295364.3333,312859.75
30627,33.972176,-82.963748,GA,Carlton,112122.6667,114742.5
4353,44.198014,-69.619689,ME,Whitefield,175335.6667,186062.8333
42274,36.950235,-86.598782,KY,Rockfield,188299.25,190439.1667
25537,38.533383,-82.281971,WV,Lesage,101593.9167,99739.83333
24589,36.760808,-78.758047,VA,Scottsburg,87853.91667,88760.33333
54618,43.963629,-90.285854,WI,Camp Douglas,128487.5,133210.1667
42058,37.058337,-88.465707,KY,Ledbetter,92827.91667,95339.75
44411,41.036746,-81.036957,OH,Deerfield,148001.1667,155386.5
98588,47.455575,-123.024771,WA,Tahuya,310308.4167,345883.9167
22843,38.387148,-79.142634,VA,Mount Solon,231574.75,235371.5
38925,33.62603,-89.634279,MS,Duck Hill,84112.25,82326.66667
37145,36.380909,-85.917012,TN,Pleasant Shade,119259.4167,130435.4167
47232,39.112058,-85.789256,IN,Elizabethtown,174282.25,182859.1667
92230,33.910412,-116.765723,CA,Cabazon,204924.6667,222896.6667
65717,37.06044,-92.416048,MO,Norwood,130306.3333,134101.5833
32187,29.578946,-81.550038,FL,San Mateo,137920.75,155298.75
30411,32.128124,-82.79438,GA,Alamo,86086.5,86415.58333
28606,36.053487,-81.322174,NC,Boomer,149472.5833,155207
83539,46.177855,-114.980094,ID,Kooskia,251241.25,268270.25
59421,47.088611,-111.685282,MT,Cascade,233981.8333,238751.25
54622,44.273358,-91.773881,WI,Buffalo City,130676.0833,133616.1667
2808,41.408251,-71.749674,RI,Bradford,262744.9167,278005.5
54547,46.21135,-90.10613,WI,Mercer,149233.9167,152131.3333
53007,43.108448,-88.072232,WI,Butler,171877.5,184086.0833
20677,38.495257,-77.036716,MD,La Plata,414133.4167,431804.75
5830,44.9721,-71.986969,VT,Derby Line,138831.0833,145493.3333
49051,42.184442,-85.242147,MI,East Leroy,173789.9167,189066.0833
